% # columns="iteration, evaluation, void, void, void, xmean", seed=619800, Sun Apr 13 17:40:37 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 15 0 0 0 -0.4100893120759313 -0.2931588682754938 -0.5677363656989803 -0.2726747817009783 0.19158079555518462 0.8074854282594833 0.9763850169281975 0.9680925797651397 0.3191390500234275 -0.8031675709346667 0.3478942823207241 -0.40344510766467356 0.034317541988967165 0.9081484848156854
2 30 0 0 0 0.5989535893500781 -0.5322959538511889 -0.7454098456458943 -0.41244152754877744 0.8296703563190606 1.1048957824659333 1.8739023286768124 0.5715137004656933 1.0508939693774644 -0.9361180075602745 0.02442349203942976 -0.22381503303105899 0.7071168440043478 0.7791440798180518
3 45 0 0 0 0.7436096722339198 -1.3024796150534044 -0.708430746657133 0.3176322093349069 1.4900441756722265 0.9161658937190238 2.0282319972080685 0.7662409831356216 1.3595427423190514 -0.7595282740228121 0.18600036018892616 0.05166894831677804 1.5914003629329727 0.4720232953753513
4 60 0 0 0 0.1418002907576993 -1.2625599748369951 -1.3080290841843674 0.3804385925501017 2.4007632656866513 1.2807355060542442 2.1636911885415646 1.0943028028297936 1.6178749300010908 -1.4024057777084762 -0.1525531206263307 0.04030389786175258 1.9860132894842175 0.30388853977000024
5 75 0 0 0 0.7809023676228963 -1.2000427571630519 -1.7256909844302117 0.316545546537213 2.3644579967863515 2.226583457559403 2.8679623028740453 1.6429124058206017 1.434189348905286 -1.3330581498627536 -0.6930451072321291 0.27990213164457134 1.766656528546436 0.025160167234152004
6 90 0 0 0 0.8182821826803296 -1.3171127625036188 -1.4972953363551431 0.6076562297709691 2.6298450747467395 2.7513914218553315 2.9654735480027075 0.8357465969707348 2.0171756916316896 -1.7865267696596383 -1.1771334460101233 0.23991298631075875 2.3989564811228514 -0.26817510929668803
7 105 0 0 0 0.4820254956948908 -1.3828724839335806 -1.4256453353414462 0.30368414435214813 2.7775873720814017 2.6770995040019034 3.298846304427625 0.7505620581537734 2.0349253109470835 -1.8745696503474616 -0.9069508674491208 0.4926479253932999 3.704450895213187 -0.33022419065426806
8 120 0 0 0 -0.07202586259787114 -1.0868065007991532 -1.7693407585899579 1.1487724323448916 2.779364294984355 3.7638182838980323 3.707406998464969 0.38013648221390983 2.5068955599871865 -2.1940780916663205 -1.5801004975119899 0.40064080564932375 3.50445724051997 0.33115357459156486
9 135 0 0 0 -1.5849054921137398 -0.9695605641236231 -2.3714149632681485 1.592626515230142 3.474546832291364 2.9705450037957535 3.225526115125688 1.2683587077606715 3.1304018990912312 -2.1008132393666554 -1.9232633346166337 0.7015246693026985 3.5949929436939523 0.09752471977343688
10 150 0 0 0 -1.4530001895091633 -1.752201178292282 -1.0869062803251985 0.8060504176338038 3.79746167529821 3.1299913217754445 3.319872788375785 1.2173381161901198 3.6910103061483035 -2.4925380093960023 -1.3238013034518161 1.419742404369845 4.00440810577862 0.39820791325726484
11 165 0 0 0 -0.5150648111092495 -2.2837697681567337 -0.7993906514618985 1.0050067764438155 4.220711704944323 3.456597537658511 3.361934321648373 0.991340542641299 4.102774458417448 -2.555992832901356 -2.3683250770321997 1.7738707920675563 4.2046763767670905 0.3432403746206104
12 180 0 0 0 0.19166513270601224 -2.369725868794261 -1.8220844556987505 1.172759626569961 4.187784475845173 3.528640252520101 3.0138093470275336 1.8676424867714678 3.654244050625421 -2.786046135600952 -2.640608685649023 1.6046550091844476 4.1617314478175205 -0.32026309561579525
13 195 0 0 0 -0.11589729768512172 -2.521132341638798 -1.4249371435591451 1.341181718813516 5.009231296059617 3.7993502400162 3.8369345718357546 1.4278340184876688 3.3151083935075767 -2.619581415954595 -1.9505644254600676 2.074555296181276 4.701561554956967 0.16836759004604618
14 210 0 0 0 -0.27724120139558917 -2.776998927214546 -1.6342273977608763 1.5434511171828607 5.1515351383488 4.542493839374629 2.9754799978318824 1.2076414236530097 2.3811614449609375 -2.377779559086538 -1.7624297148077557 2.3130950828248107 3.997219586548619 0.3746288789880601
15 225 0 0 0 -1.1672882645575637 -3.437654940109054 -1.4008461623420894 1.8619505762016886 5.248314759887527 4.481363475713382 3.4334619247115574 1.487128137494934 2.6582037722506544 -2.496426421804519 -1.4988101803256884 2.2491099637935585 4.536438425399884 0.6240274647805846
