% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=619800, Sun Apr 13 17:40:37 2025, <python>{}</python>
1 15 0.9080762702919809 0 0 0.8942000259830208 0.8974008427713079 0.8983947136006241 0.9002839361748696 0.9083427246340473 0.9044004288161165 0.915024781880224 0.8913166409802352 0.8919998494578641 0.9054066037455516 0.9221277117270233 0.9068856506691853 0.8931052827796468 0.887174226608571
2 30 0.9228837763112892 0 0 0.9301549324730952 0.9017837433664881 0.9138852590951597 0.9101553449518568 0.9397560523323536 0.8956695289038136 0.9441977036993872 0.8942870963554304 0.9136286817412765 0.9151522118759837 0.9220047318755634 0.908968708753241 0.910569017761155 0.8965289456537434
3 45 0.9795715763572092 0 0 0.9610065410057846 0.9677343944403523 0.9609786429921044 0.9741737046897208 1.0116765110876724 0.9423282810569388 1.0240104783016322 0.9457849670619409 0.9782567656206982 0.9845311444294582 0.9649402906782109 0.9471453560175742 0.9777780669441086 0.952704349895584
4 60 1.0447003559209014 0 0 1.0233968692455766 1.0422964891936233 1.0370310949387191 1.0280361508672797 1.14922764725838 1.0032427082963027 1.1048636746932756 1.0091297483631467 1.0457889066894694 1.0439082039570484 1.0102151247941829 0.9982679321887783 1.0108518105039215 1.015845968458664
5 75 1.1022065122741465 0 0 1.0793353753877521 1.0946518074723361 1.0948569323418444 1.0819454336147545 1.2434579529919012 1.0820960956878478 1.1897404007637118 1.0471760225503055 1.0865037190122768 1.10278079574303 1.0539361007509414 1.0695808628153558 1.0646743903046108 1.0602515732777806
6 90 1.1484886325643884 0 0 1.1326497084172973 1.1438722373450472 1.12299783870646 1.1238046459790108 1.3058345187384446 1.1521531305495931 1.2456254327496652 1.106563908184663 1.1563653256338913 1.107694185065383 1.1065969968400686 1.1166462501303462 1.087930491967981 1.0987381796980238
7 105 1.1758618621820591 0 0 1.1421054517195008 1.1735323610311612 1.1375355812859134 1.130089633671304 1.326072388575794 1.1785730977046012 1.285970909357956 1.1370928178007234 1.1813241248991775 1.1113655761566221 1.115635117569266 1.1428025207673171 1.169394609551628 1.128909902695946
8 120 1.221724547531139 0 0 1.1815064739355647 1.237547332590884 1.176591523629375 1.1732215900723668 1.3599392950821225 1.2402114283571228 1.3208501921808988 1.1845782020158302 1.2384169884931555 1.149416694193457 1.164236801983761 1.1815744430799933 1.2250309062118492 1.1874949032329842
9 135 1.2903937584486824 0 0 1.2847176655971044 1.30555718774959 1.2261423700785843 1.252118544530005 1.4471564615179116 1.325949520044969 1.390864947560383 1.2451042383623363 1.3270265607755485 1.1879873609907565 1.22153219838709 1.2446090304925466 1.296187093361974 1.2453102875144713
10 150 1.3015650910093448 0 0 1.2862931271847862 1.3256120609678232 1.2503438697242562 1.23939815186038 1.4460269467607505 1.3239226075602917 1.3858398937993783 1.2464915884552832 1.3449641926192812 1.178837985835268 1.2663763955108525 1.2637521195744188 1.2984461726469523 1.257632006881556
11 165 1.2828845066152557 0 0 1.261982595735338 1.3124006348439383 1.2198188257102718 1.2128326162211924 1.3998660509747136 1.2815919753853757 1.3593665233932293 1.22457596333564 1.3752989547050443 1.1555367596790522 1.2686040537448535 1.232364258255695 1.2887894645555409 1.2424132641946584
12 180 1.2169129063243815 0 0 1.1893995182272386 1.2512508214499458 1.1511999175730137 1.1528003347872344 1.3096904383157144 1.204752346291927 1.2780585911614082 1.1562762088144534 1.3010523449468807 1.0992601376172388 1.2023419226698762 1.175440562629638 1.2218536768200001 1.1716560686778708
13 195 1.1352654987762572 0 0 1.1124399886929293 1.161874478225585 1.092628644043848 1.0512584113184948 1.2186029373381682 1.1010321749680445 1.2082114350368671 1.0784229157447955 1.2295548861177263 0.9966360840337506 1.1144010281095638 1.1149919155722754 1.1252814418061066 1.0923868562902133
14 210 1.101732197553327 0 0 1.0892586447064188 1.1242882821497724 1.050291380456101 1.0066882457604607 1.1971233145931903 1.0731588074807086 1.1645522008748728 1.041459438833884 1.204520142887459 0.9642603320855677 1.065224505117503 1.0641633341934515 1.0913178582968874 1.0616550038371135
15 225 1.065441936214563 0 0 1.0402696799800077 1.1041017126729897 1.0105552764135566 0.9600172186116012 1.1542929895722938 1.0326836713788503 1.1281715162094181 1.0162919165738857 1.1578865420573405 0.9059231581681159 1.0199269799262982 1.0360601347224947 1.0605562862619933 1.0164561900529614
