% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=619800, Sun Apr 13 17:40:37 2025, <python>{}</python>
1 15 0.9080762702919809 1.0000464296492513 -217.5661902372834 -2.1756619023728339e+02 -2.81911645758308 -2.1228184889275443 6.3849763245835955   
2 30 0.9228837763112892 1.1181417783337977 -641.6994179992876 -6.4169941799928756e+02 -7.575911149891728 -2.57229683421129 160.64464478166343   
3 45 0.9795715763572092 1.2117634147722405 -641.6994179992876 -5.4930714898061467e+02 -12.985661346922079 -2.54188537883788 46.995351072664086   
4 60 1.0447003559209014 1.33208132860691 -641.6994179992876 -5.6353012179278176e+02 -86.64866312868828 -2.6257463529644625 252.28838398303967   
5 75 1.1022065122741465 1.4486801704475325 -641.6994179992876 -5.9033674141856170e+02 -293.3366909923689 -9.237325554643578 292.8299830501588   
6 90 1.1484886325643884 1.523642634444118 -731.3877547955944 -7.3138775479559445e+02 -285.0201449659801 -4.183473952862642 524.265036791582   
7 105 1.1758618621820591 1.6057658633640821 -731.3877547955944 -7.0303210682372162e+02 -503.9557301206658 -27.432659805071395 200.37604199601532   
8 120 1.221724547531139 1.6510298840263493 -733.4272365942742 -7.3342723659427418e+02 -543.0943651237112 -2.7848923880785605 404.75220999078425   
9 135 1.2903937584486824 1.6777047602596142 -748.2303486543037 -7.4823034865430373e+02 -543.0843209170836 -258.9013212042719 176.08031181617054   
10 150 1.3015650910093448 1.7574343082568384 -748.2303486543037 -7.1592995380283867e+02 -497.71733011293685 -60.456273517502666 249.64733468286425   
11 165 1.2828845066152557 1.8289844654739416 -748.2303486543037 -6.9537265134984864e+02 -505.1812194713106 -78.21462817235619 208.46980008057545   
12 180 1.2169129063243815 1.9597914933546707 -776.5142489068843 -7.7651424890688429e+02 -501.99850578964384 -36.88107901930341 182.98610416953665   
13 195 1.1352654987762572 1.98747824005139 -776.5142489068843 -7.4397900467975921e+02 -558.1209515075999 -74.90196769516507 182.81769922806234   
14 210 1.101732197553327 2.0543055522370484 -776.5142489068843 -7.3321115668351820e+02 -607.1860364773613 -280.86445939270624 92.69406234222322   
15 225 1.065441936214563 2.0890675241600167 -776.5142489068843 -7.5710118839637983e+02 -633.6428726758392 -103.97192771027731 85.52328596735379   
